[,behaviorspace-run-number,which-storm?,num-citizens,num-broadcasters,num-aggregators,distribute_population,earliest,latest,wind-threshold,forc-weight,evac-weight,envc-weight,network-distance,network-size,use-census-data,census-tract-min-pop,citizen-to-census-population-ratio,census-tract-max-pop,under-18-assessment-increase,over-65-assessment-decrease,limited-english-assessment-decrease,foodstamps-assessment-decrease,no-vehicle-assessment-modification,no-internet-assessment-modification,]
[, 0 , MICHAEL , 127 , 10 , 10 , false , 198 , 0 , 119 , 1.44 , 0.53 , 1 , 50 , 2 , false , 5900 , 6000 , 10000 , 0.5 , 0.4 , 1 , 1 , 0.5 , 1 ,]

[,agent,xcor,ycor,selftrust,trustauthority?,risklife,riskproperty,infoup,infodown,decisionmodulefrequency,evac.zone,completed.actions,when.evac.1st.ordered,ntract.information,kids.under.18,adults.over.65,limited.english,foodstamps,no.vehicle,no.internet,census.tract.number,]
[, 129 , -9.861456095959447 , 40.230575776899435 , 0.9428824652959967 , 0.15210316759427178 , 14.524412553584344 , 10.123613546165661 , 6.338298847373142 , 1.4776594052760936 , 2 ,  , [other_PA [9 2100] 23.000000000000014] [other_PA [9 1700] 27] [other_PA [9 1300] 31.00000000000003] , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 67 , -6.767181546862623 , 30.75033277573913 , 0.7285656219789302 , 0.12844203282589428 , 16.5507711822573 , 11.659298074588495 , 6.680559986025047 , 2.186070119079294 , 8 , B , , 90 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 140 , -17.147154830122425 , 43.931380575779414 , 0.8254726498636349 , 0.47665979339453 , 9.882633475566113 , 6.785277881847149 , 3.177311949460801 , 0.8927072770269159 , 3 ,  , [evacuate [8 1300] 55.00000000000003] , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 148 , -46.00623949974999 , 45.64253929872808 , 0.7786207306452062 , 0.697514749959109 , 11.199878984565833 , 7.142779168269413 , 4.634609325434933 , 1.320031189405122 , 2 , C , [other_PA [10 900] 8.000000000000014] [other_PA [10 300] 14.000000000000014] [other_PA [9 2300] 19.99999999999997] [other_PA [9 2100] 20.000000000000014] [other_PA [9 1700] 24] [other_PA [9 1500] 26.000000000000014] [other_PA [9 1300] 28.00000000000003] [other_PA [9 1100] 30] [other_PA [9 900] 32.000000000000014] [other_PA [9 500] 36] [other_PA [9 300] 38.000000000000014] [other_PA [8 2300] 42] [other_PA [8 2100] 44.000000000000014] [other_PA [8 1900] 46.00000000000003] [other_PA [8 1700] 48] [other_PA [8 1500] 50.000000000000014] [other_PA [8 1100] 54] [other_PA [8 900] 56.000000000000014] [other_PA [7 2300] 66.00000000000003] [other_PA [7 1700] 72.00000000000003] , 89.00000000000001 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 122 , -26.819195653097115 , 43.57405165159762 , 0.9049600379280451 , 0.09830674785244475 , 14.513350219599944 , 10.494593171427093 , 5.823682840393686 , 1.2312768952359725 , 4 , C , , 90.99999999999999 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 85 , 8.964642964783597 , 35.995658701956124 , 0.6202432294096918 , 0.5473040796198922 , 14.258020188397618 , 9.61874061071203 , 6.1777772247060705 , 0.8969621524344177 , 15 , C , [other_PA [10 100] 21] , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 174 , 19.16906464167874 , 35.58155032800341 , 0.6502850071795144 , 0.1155587739715731 , 14.892147411188846 , 11.66634152337829 , 6.312417257128865 , 1.0461219931037111 , 8 ,  , , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 104 , -10.80455182189386 , 34.383588647632955 , 0.8622003938238958 , 0.7912191410851848 , 14.864400521615199 , 10.556030010752755 , 6.005392496820404 , 1.0848625554477023 , 6 , A , [evacuate [7 2300] 68] [other_PA [7 1600] 74.99999999999997] , 90.99999999999999 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 96 , -7.927516297303617 , 34.07772925475833 , 0.9857290924440184 , 0.3950113662242154 , 13.748001811536312 , 10.229208344279948 , 6.20943592512367 , 2.0959072426492487 , 1 , C , , 90 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 91 , 21.18522908210284 , 28.87971082760141 , 0.7127107123345955 , 0.7537702108868136 , 15.560263107810075 , 11.096934871042928 , 6.264834167564668 , 0.7661398439601372 , 1 , B , , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,]
