[,agent,decisionmodulefrequency,riskforecast,riskorders,riskenv,finalriskassessment,risksurge,percentevacuatedcoastal64,]
[, 49 , 22 , -0.017073736775362256 , 1.2221918822499034 , 0 , 1.2051181454745412 , 0 , 0 ,]
[, 79 , 7 , 5.970276976273937 , 1.119039014937845 , 0 , 7.089315991211782 , 0 , 0 ,]
[, 71 , 15 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 38 , 10 , 11.229274526793494 , 1.1257208330265256 , 0 , 12.35499535982002 , 0 , 0 ,]
[, 74 , 13 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 72 , 12 , 1.4293251206840685 , 1.523197312428562 , 0 , 2.9525224331126303 , 0 , 0 ,]
[, 80 , 22 , -0.6136985668645598 , 0 , 0 , -0.6136985668645598 , 0 , 0 ,]
[, 90 , 22 , 0.24408557717038254 , 1.3467019593569902 , 0 , 1.5907875365273727 , 0 , 0 ,]
[, 60 , 11 , 1.8055830642881017 , 0.7615030600101312 , 0 , 2.567086124298233 , 0 , 0 ,]
[, 70 , 15 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 47 , 13 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 57 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 58 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 93 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 41 , 13 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 51 , 17 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 78 , 8 , 1.0519869998043723 , 1.0782348016167331 , 0 , 2.130221801421105 , 0 , 0 ,]
[, 91 , 12 , 0.9107602073151876 , 1.6837021946310604 , 0 , 2.594462401946248 , 0 , 0 ,]
[, 56 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 69 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 87 , 13 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 62 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 44 , 20 , 0.7014430504820969 , 0 , 0 , 0.7014430504820969 , 0 , 0 ,]
[, 64 , 15 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 101 , 13 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 83 , 10 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 75 , 11 , 1.7029855516920813 , 0.45344786532136305 , 0 , 2.1564334170134445 , 0 , 0 ,]
[, 53 , 24 , 0.26685818635053665 , 1.1789623960091897 , 0 , 1.4458205823597263 , 0 , 0 ,]
[, 63 , 9 , 2.3094292649342756 , 0.7180027057816413 , 0 , 3.027431970715917 , 0 , 0 ,]
[, 100 , 9 , -0.4187705970297408 , 2.861416383877321 , 0 , 2.44264578684758 , 0 , 0 ,]
[, 42 , 13 , -0.6402078886949304 , 2.044243848772209 , 0 , 1.404035960077279 , 0 , 0 ,]
[, 39 , 13 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 40 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 82 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 73 , 13 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 92 , 13 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 85 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 97 , 28 , 1.5122030081229259 , 0.17604648958883837 , 0 , 1.6882494977117641 , 0 , 0 ,]
[, 61 , 16 , 0.8043442517625167 , 0 , 0 , 0.8043442517625167 , 0 , 0 ,]
[, 48 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 88 , 13 , 3.2799320888612127 , 0 , 0 , 3.2799320888612127 , 0 , 0 ,]
[, 98 , 11 , 3.468553584309084 , 0 , 0 , 3.468553584309084 , 0 , 0 ,]
[, 68 , 22 , -0.1787110086145149 , 0.33605719034987497 , 0 , 0.15734618173536008 , 0 , 0 ,]
